time,P,G(i),H_sun,T2m,WS10m
20200627:1410,244.39,536,35.1,29.31,2.41
20200627:1510,168.38,379,25.56,29.02,2.41
20200627:1610,85.6,213,16.23,28.39,2.07
20200627:1710,2.84,16,7.42,26.89,2
20200627:1810,0,0,0,25.09,2.41
20200627:1910,0,0,0,23.55,2.41
20200627:2010,0,0,0,22.68,2.48
20200627:2110,0,0,0,21.94,2.62
20200627:2210,0,0,0,21.38,2.62
20200627:2310,0,0,0,20.87,2.55
20200628:0010,0,0,0,20.34,2.41
20200628:0110,0,0,0,19.76,2.34
20200628:0210,0.52,8,1.98,19.27,2.34
20200628:0310,1.35,11,10.26,19.4,2.34
20200628:0410,116.9,268,19.28,20.86,2.28
20200628:0510,21.34,60,28.72,22.98,2.69
20200628:0610,202.79,434,38.24,24.79,3.17
20200628:0710,327.58,704,47.39,26.25,3.1
20200628:0810,374.02,813.01,55.44,27.49,3.38
20200628:0910,397.77,869.01,61.14,28.28,3.79
20200628:1010,399.82,875.01,62.77,28.97,4.07
20200628:1110,357.77,781.01,59.62,29.52,4.21
20200628:1210,299.05,650,52.96,29.61,4.21
20200628:1310,153.79,340,44.43,29.66,4.07
20200628:1410,160.99,353,35.1,28.53,3.86
20200628:1510,83.35,191,25.56,26.66,3.66
20200628:1610,33.34,87,16.23,26.12,2.69
20200628:1710,6.13,25,7.41,25.5,2.28
20200628:1810,0,0,0,24.59,2.41
20200628:1910,0,0,0,22.81,2
20200628:2010,0,0,0,21.53,2.48
20200628:2110,0,0,0,20.91,2.28
20200628:2210,0,0,0,20.63,2.07
20200628:2310,0,0,0,20.35,2
20200629:0010,0,0,0,19.9,2.28
20200629:0110,0,0,0,19.65,2.34
20200629:0210,0.52,8,1.92,19.36,2.41
20200629:0310,25.48,70,10.19,19.4,2.34
20200629:0410,105.1,238,19.21,19.73,3.03
20200629:0510,186.62,396,28.65,20.6,3.17
20200629:0610,260,544,38.17,21.86,3.59
20200629:0710,318.7,670,47.32,23.04,3.86
20200629:0810,339.56,720,55.37,23.87,3.93
20200629:0910,378.51,810.01,61.08,24.59,3.86
20200629:1010,268.64,576,62.72,25.35,3.79
20200629:1110,315.83,680,59.59,26.04,3.59
20200629:1210,322.83,695,52.94,26.25,3.31
20200629:1310,309.64,666,44.42,26.51,2.97
20200629:1410,230.98,499,35.1,26.57,2.62
20200629:1510,145.53,324,25.56,26.41,2.21
20200629:1610,68.5,167,16.22,26.06,1.79
20200629:1710,0.74,9,7.4,25.55,1.31
20200629:1810,0,0,0,24.27,0.97
20200629:1910,0,0,0,23.17,1.03
20200629:2010,0,0,0,22.28,1.17
20200629:2110,0,0,0,20.7,1.52
20200629:2210,0,0,0,19.95,1.79
20200629:2310,0,0,0,19.23,1.72
20200630:0010,0,0,0,18.75,1.79
20200630:0110,0,0,0,18.38,1.86
20200630:0210,0.52,8,1.84,18.14,1.86
20200630:0310,18.29,53,10.12,18.61,1.79
20200630:0410,102.69,235,19.14,20.91,1.72
20200630:0510,189.8,410,28.58,23.29,2.28
20200630:0610,246.12,526,38.1,24.92,2.76
20200630:0710,237.82,510,47.25,25.4,3.1
20200630:0810,136.68,298,55.3,24.56,3.52
20200630:0910,181.84,391,61.01,24.07,3.31
20200630:1010,270.91,576,62.66,22.98,3.31
20200630:1110,264.54,556,59.55,22.08,4.34
20200630:1210,265.86,558,52.92,22.49,4.48
20200630:1310,202.22,428,44.41,23.05,4.14
20200630:1410,178.67,381,35.09,23.93,4.28
20200630:1510,152.96,334,25.55,24.18,4.14
20200630:1610,83.82,203,16.21,24.02,3.93
20200630:1710,19.95,64,7.39,23.26,2.97
20200630:1810,0,0,0,22.23,2.34
20200630:1910,0,0,0,21.17,2.07
20200630:2010,0,0,0,20.33,1.93
20200630:2110,0,0,0,19.59,2
20200630:2210,0,0,0,18.97,2
20200630:2310,0,0,0,18.58,2.07
20200701:0010,0,0,0,18.09,2.07
20200701:0110,0,0,0,17.66,2
20200701:0210,0,1,1.77,17.14,2
20200701:0310,3.02,16,10.04,17.42,1.72
20200701:0410,110.39,251,19.06,18.92,1.66
20200701:0510,196.94,421,28.51,20.45,1.79
20200701:0610,272.05,576,38.02,22,2.14
20200701:0710,313.51,666,47.17,22.51,2.41
20200701:0810,355.92,766.01,55.23,23.74,2.48
20200701:0910,402.97,878.01,60.94,24.79,2.62
20200701:1010,385.13,840.01,62.6,25.72,2.83
20200701:1110,343.13,746,59.51,26.45,2.97
20200701:1210,347.68,753.01,52.89,27.01,3.24
20200701:1310,314.43,678,44.39,27.32,3.24
20200701:1410,232.82,503,35.07,27.18,3.1
20200701:1510,132.31,295,25.54,26.94,2.97
20200701:1610,85.19,210,16.19,26.41,2.28
20200701:1710,19.7,64,7.36,25.32,1.79
20200701:1810,0,0,0,23.59,1.79
20200701:1910,0,0,0,22.46,2.21
20200701:2010,0,0,0,21.77,2.28
20200701:2110,0,0,0,21.13,2.34
20200701:2210,0,0,0,20.61,2.34
20200701:2310,0,0,0,20.11,2.28
20200702:0010,0,0,0,19.65,2.28
20200702:0110,0,0,0,19.32,2.28
20200702:0210,0,1,1.68,18.91,2.28
20200702:0310,35.03,97,9.96,19.11,2.14
20200702:0410,99.11,227,18.98,20.82,1.72
20200702:0510,187.01,405,28.42,23.13,1.86
20200702:0610,262.58,566,37.94,25.03,1.79
20200702:0710,331.16,720,47.09,26.14,2.07
20200702:0810,340.45,746,55.14,27.59,2.48
20200702:0910,350.84,773.01,60.86,28.43,2.76
20200702:1010,385.77,856.01,62.54,29.12,2.83
20200702:1110,367.37,816.01,59.46,29.7,2.69
20200702:1210,336.19,744,52.86,30.19,2.62
20200702:1310,283.12,624,44.37,30.37,2.41
20200702:1410,216.03,477,35.05,30.37,2.34
20200702:1510,168.17,381,25.51,30.19,2.34
20200702:1610,78.49,196,16.17,29.58,2
20200702:1710,19.15,63,7.34,28.16,1.93
20200702:1810,0,0,0,26.46,2.28
20200702:1910,0,0,0,24.92,2
20200702:2010,0,0,0,23.89,2.28
20200702:2110,0,0,0,23.22,2.41
20200702:2210,0,0,0,22.6,2.48
20200702:2310,0,0,0,22.07,2.48
20200703:0010,0,0,0,21.52,2.55
20200703:0110,0,0,0,21.04,2.48
20200703:0210,0,1,1.6,20.61,2.55
20200703:0310,34.08,96,9.87,20.78,2.48
20200703:0410,110.18,255,18.9,22.18,2.28
20200703:0510,190.07,412,28.34,24.09,2.48
20200703:0610,265.84,572,37.86,26.04,2.55
20200703:0710,330.43,717,47,27.59,2.9
20200703:0810,374.09,820.01,55.06,29.02,3.38
20200703:0910,395.68,874.01,60.77,29.9,3.59
20200703:1010,379.76,841.01,62.46,30.51,3.59
20200703:1110,390.14,865.01,59.41,30.85,3.59
20200703:1210,357.58,789.01,52.82,31.1,3.52
20200703:1310,296.5,650,44.34,31.32,3.59
20200703:1410,229.72,504,35.02,31.09,3.72
20200703:1510,165.37,373,25.49,30.71,3.86
20200703:1610,85.89,216,16.14,29.87,3.17
20200703:1710,22.8,80,7.3,28.62,2.76
20200703:1810,0,0,0,27.02,2.69
20200703:1910,0,0,0,25.9,2.83
20200703:2010,0,0,0,25.04,2.76
20200703:2110,0,0,0,24.29,2.34
20200703:2210,0,0,0,22.99,1.52
20200703:2310,0,0,0,22.56,1.17
20200704:0010,0,0,0,22.01,1.17
20200704:0110,0,0,0,22.12,0.97
20200704:0210,0,1,1.51,21.15,1.1
20200704:0310,1.05,10,9.78,20.68,1.31
20200704:0410,5.45,23,18.81,22.83,1.72
20200704:0510,18.5,54,28.25,23.98,2.69
20200704:0610,114.07,252,37.77,24.82,3.03
20200704:0710,208.86,446,46.91,23.48,2.69
20200704:0810,281.78,606,54.96,24.48,2.41
20200704:0910,238.06,516,60.68,25.48,2.28
20200704:1010,254.18,552,62.38,26.22,2.55
20200704:1110,224.1,487,59.35,26.8,2.83
20200704:1210,286.25,620,52.78,27.34,3.1
20200704:1310,240.95,521,44.3,27.58,3.17
20200704:1410,228.3,494,34.99,27.47,3.03
20200704:1510,141.8,317,25.46,27.42,2.62
20200704:1610,78.67,194,16.1,26.64,2.14
20200704:1710,17.42,57,7.26,25.95,2.28
20200704:1810,0,0,0,24.79,2.41
20200704:1910,0,0,0,23.38,2.07
20200704:2010,0,0,0,22.56,2.21
20200704:2110,0,0,0,22.03,2.34
20200704:2210,0,0,0,21.51,2.41
20200704:2310,0,0,0,21.16,2.41
20200705:0010,0,0,0,20.87,2.41
20200705:0110,0,0,0,20.46,2.48
20200705:0210,0,0,0,20.21,2.41
20200705:0310,1.05,10,9.69,20.21,2.55
20200705:0410,5.53,23,18.71,20.67,2.9
20200705:0510,14.71,45,28.16,21.41,3.03
20200705:0610,215.43,454,37.68,22.12,3.31
20200705:0710,321.4,679,46.82,23.16,3.24
20200705:0810,344.98,735,54.87,23.59,3.17
20200705:0910,404.61,876.01,60.58,24.57,2.97
20200705:1010,410.17,893.01,62.3,25.49,3.03
20200705:1110,393.59,858.01,59.28,26.3,2.97
20200705:1210,368.65,803.01,52.72,27.15,2.9
20200705:1310,282.11,609,44.26,27.52,3.1
20200705:1410,250.54,541,34.95,27.52,3.31
20200705:1510,166.81,371,25.42,27.29,3.31
20200705:1610,82.66,205,16.06,26.88,2.69
20200705:1710,20.75,70,7.22,26.1,1.86
20200705:1810,0,0,0,24.68,1.79
20200705:1910,0,0,0,23.09,1.45
20200705:2010,0,0,0,22.09,1.24
20200705:2110,0,0,0,21.95,1.03
20200705:2210,0,0,0,22.21,0.83
20200705:2310,0,0,0,21.62,0.55
20200706:0010,0,0,0,21.14,0.41
20200706:0110,0,0,0,20.75,0.48
20200706:0210,0,0,0,20.41,0.48
20200706:0310,27.68,78,9.59,20.21,0.48
20200706:0410,104.9,244,18.62,20.71,0.21
20200706:0510,186.35,409,28.06,23.24,0.48
20200706:0610,258.82,564,37.58,24.79,0.76
20200706:0710,312.23,685,46.72,25.78,1.1
20200706:0810,344.02,768.01,54.76,26.84,0.97
20200706:0910,368.9,833.01,60.48,27.69,1.03
20200706:1010,380.28,863.01,62.2,28.54,1.17
20200706:1110,376.73,857.01,59.2,29.13,1.1
20200706:1210,345.38,783.01,52.67,29.61,0.9
20200706:1310,307.27,691,44.21,30.04,0.9
20200706:1410,235.54,528,34.91,30.16,0.69
20200706:1510,159,365,25.38,30.13,0.55
20200706:1610,82.72,210,16.02,29.78,0.69
20200706:1710,21.11,74,7.16,28.5,1.24
20200706:1810,0,0,0,26.88,1.93
20200706:1910,0,0,0,25.14,1.93
20200706:2010,0,0,0,24.02,2
20200706:2110,0,0,0,23.24,1.93
20200706:2210,0,0,0,22.45,1.93
20200706:2310,0,0,0,22,1.93
20200707:0010,0,0,0,21.36,1.86
20200707:0110,0,0,0,20.67,1.72
20200707:0210,0,0,0,20.29,1.52
20200707:0310,2.93,16,9.48,22.07,0.69
20200707:0410,7.02,27,18.51,22.44,0.83
20200707:0510,11.08,37,27.96,23.69,2.07
20200707:0610,99.5,221,37.48,23.37,2.76
20200707:0710,33.2,86,46.61,24.37,1.1
20200707:0810,58.91,140,54.66,25.08,1.24
20200707:0910,118.55,264,60.37,25.39,1.31
20200707:1010,119.96,269,62.1,26.46,0.83
20200707:1110,166.06,369,59.12,27.28,0.83
20200707:1210,217.15,484,52.6,27.98,0.48
20200707:1310,223.06,483,44.16,26.07,2.14
20200707:1410,108.35,238,34.86,23.45,4.41
20200707:1510,105.68,232,25.33,21.64,4.21
20200707:1610,17.48,51,15.96,20.67,4.14
20200707:1710,0.52,8,7.11,19.18,4.83
20200707:1810,0,0,0,17.65,5.1
20200707:1910,0,0,0,17.23,5.79
20200707:2010,0,0,0,17.09,5.86
20200707:2110,0,0,0,17.04,5.86
20200707:2210,0,0,0,17.02,5.72
20200707:2310,0,0,0,16.96,5.52
20200708:0010,0,0,0,16.72,5.24
20200708:0110,0,0,0,16.34,4.55
20200708:0210,0,0,0,15.78,5.03
20200708:0310,1.1,10,9.38,14.88,4.76
20200708:0410,5.72,23,18.41,14.71,4.62
20200708:0510,51.14,118,27.86,14.72,4.62
20200708:0610,73.61,162,37.37,15.03,4.62
20200708:0710,241.32,488,46.51,14.61,4.48
20200708:0810,297.85,604,54.54,15.42,4.55
20200708:0910,95.44,206,60.26,16.93,4.76
20200708:1010,284.78,585,61.99,18.37,5.45
20200708:1110,299.3,617,59.03,19.85,5.86
20200708:1210,276.55,571,52.53,20.18,5.52
20200708:1310,143.18,304,44.1,20.78,5.45
20200708:1410,222.27,462,34.81,20.92,5.17
20200708:1510,155.62,334,25.27,20.99,5.03
20200708:1610,84.55,202,15.91,20.49,4.41
20200708:1710,21.38,73,7.04,19.77,3.59
20200708:1810,0,0,0,18.64,3.1
20200708:1910,0,0,0,17.19,2.62
20200708:2010,0,0,0,16.29,2.62
20200708:2110,0,0,0,15.57,2.48
20200708:2210,0,0,0,14.98,2.48
20200708:2310,0,0,0,14.46,2.41
20200709:0010,0,0,0,13.98,2.34
20200709:0110,0,0,0,13.55,2.28
20200709:0210,0,0,0,13.31,2.34
20200709:0310,1.11,10,9.26,13.56,2.28
20200709:0410,93.76,210,18.3,15.2,2.07
20200709:0510,142.75,302,27.75,16.99,2.28
20200709:0610,136.54,290,37.26,18.33,2.34
20200709:0710,254.96,528,46.39,18.53,3.24
20200709:0810,268.57,557,54.43,18.81,3.66
20200709:0910,322.15,671,60.14,19.53,3.86
20200709:1010,244.73,511,61.88,19.99,4.07
20200709:1110,223.76,468,58.94,20.49,4.41
20200709:1210,217.49,455,52.45,20.6,4.28
20200709:1310,285.77,595,44.04,20.14,3.24
20200709:1410,261.64,548,34.75,20.47,2.83
20200709:1510,164.6,356,25.21,20.59,2.41
20200709:1610,87.67,212,15.84,20.53,2.14
20200709:1710,20.92,71,6.97,20.07,1.17
20200709:1810,0,0,0,19.1,0.76
20200709:1910,0,0,0,17.77,0.97
20200709:2010,0,0,0,17.27,1.03
20200709:2110,0,0,0,15.94,1.38
20200709:2210,0,0,0,15.59,1.31
20200709:2310,0,0,0,15.38,1.24
20200710:0010,0,0,0,14.99,1.24
20200710:0110,0,0,0,15.25,1.03
20200710:0210,0,0,0,15.6,0.9
20200710:0310,0.81,9,9.15,15.07,0.9
20200710:0410,111.79,256,18.19,16.16,0.76
20200710:0510,194.78,416,27.64,18.95,1.38
20200710:0610,272.29,571,37.15,20.23,2.28
20200710:0710,333.35,700,46.28,20.87,2.76
20200710:0810,367.26,782.01,54.3,21.83,2.55
20200710:0910,396.02,854.01,60.01,23.01,2.55
20200710:1010,408.85,890.01,61.76,23.85,2.41
20200710:1110,382,833.01,58.84,24.49,2.14
20200710:1210,343.57,747.01,52.37,24.82,1.86
20200710:1310,257.67,557,43.96,25.58,1.93
20200710:1410,220.85,478,34.68,25.67,1.93
20200710:1510,170.03,377,25.15,25.65,2.55
20200710:1610,83.9,208,15.77,25.37,2.69
20200710:1710,19.13,65,6.9,24.02,2.48
20200710:1810,0,0,0,22.53,2.76
20200710:1910,0,0,0,22.21,2.97
20200710:2010,0,0,0,21.55,2.97
20200710:2110,0,0,0,20.89,3.03
20200710:2210,0,0,0,20.51,3.17
20200710:2310,0,0,0,20.18,3.24
20200711:0010,0,0,0,19.83,3.1
20200711:0110,0,0,0,19.45,2.9
20200711:0210,0,0,0,19.11,2.76
20200711:0310,28.24,81,9.03,19.01,2.55
20200711:0410,105.07,244,18.07,20.13,2.21
20200711:0510,189.27,408,27.52,22.13,2.34
20200711:0610,263.84,563,37.03,24.19,2.48
20200711:0710,328.82,707,46.16,25.61,2.76
20200711:0810,372.73,813.01,54.18,27.3,2.97
20200711:0910,400.42,882.01,59.88,28.55,3.24
20200711:1010,400.64,886.01,61.63,29.17,3.24
20200711:1110,390.02,865.01,58.73,29.59,2.97
20200711:1210,353.66,781.01,52.28,29.83,2.76
20200711:1310,301.94,661,43.89,29.65,2.76
20200711:1410,240.34,526,34.61,29.74,3.03
20200711:1510,164.44,370,25.08,28.67,2.69
20200711:1610,81.4,205,15.7,28.24,2.48
20200711:1710,18.63,66,6.82,27.06,2
20200711:1810,0,0,0,25.66,2.21
20200711:1910,0,0,0,24.75,2.41
20200711:2010,0,0,0,23.82,2.48
20200711:2110,0,0,0,23.01,2.48
20200711:2210,0,0,0,22.32,2.41
20200711:2310,0,0,0,21.7,2.41
20200712:0010,0,0,0,21.05,2.41
20200712:0110,0,0,0,20.66,2.48
20200712:0210,0,0,0,20.32,2.48
20200712:0310,25.49,74,8.9,20.26,2.41
20200712:0410,99.41,232,17.95,21.13,2.07
20200712:0510,181.76,394,27.4,23.05,2.28
20200712:0610,255.14,548,36.91,24.85,2.07
20200712:0710,312.55,689,46.03,25.7,0.76
20200712:0810,292.62,658,54.05,26.93,0.14
20200712:0910,354.74,804.01,59.74,27.73,0.69
20200712:1010,170.51,381,61.5,28.72,0.97
20200712:1110,320.83,722,58.61,28.87,1.03
20200712:1210,317.01,708,52.19,29.1,1.31
20200712:1310,199.91,441,43.8,28.25,1.38
20200712:1410,14.84,46,34.53,25.4,3.24
20200712:1510,11.18,37,25,22.24,4.07
20200712:1610,4.01,19,15.62,21.21,4.34
20200712:1710,1.65,12,6.73,20.33,4.41
20200712:1810,0,0,0,19.05,4.83
20200712:1910,0,0,0,16.56,5.38
20200712:2010,0,0,0,15.72,5.17
20200712:2110,0,0,0,14.88,5.31
20200712:2210,0,0,0,14.13,5.38
20200712:2310,0,0,0,13.68,5.45
20200713:0010,0,0,0,13.64,5.45
20200713:0110,0,0,0,13.28,5.38
20200713:0210,0,0,0,13.15,5.24
20200713:0310,0.83,9,8.77,13.22,5.17
20200713:0410,5.38,22,17.82,13.2,5.17
20200713:0510,19.1,53,27.28,13.4,4.97
20200713:0610,49.38,114,36.79,13.99,6.76
20200713:0710,104.19,221,45.9,15.4,6.48
20200713:0810,214.91,438,53.91,16.13,5.93
20200713:0910,316.03,641,59.6,17.11,6.48
20200713:1010,266.34,544,61.36,17.83,6.41
20200713:1110,188.62,390,58.49,18.33,6.55
20200713:1210,141.27,297,52.08,18.52,6.14
20200713:1310,117.25,250,43.72,18.76,6.07
20200713:1410,54.23,126,34.45,18.69,5.86
20200713:1510,29.58,76,24.92,18.06,5.79
20200713:1610,6.03,24,15.53,17.4,5.1
20200713:1710,1.69,12,6.63,16.95,4.62
20200713:1810,0,0,0,16.74,4.34
20200713:1910,0,0,0,16.81,4
20200713:2010,0,0,0,16.79,4.14
20200713:2110,0,0,0,16.65,4.34
20200713:2210,0,0,0,16.58,4.62
20200713:2310,0,0,0,16.28,4.69
20200714:0010,0,0,0,15.98,4.62
20200714:0110,0,0,0,15.68,4.55
20200714:0210,0,0,0,15.39,4.55
20200714:0310,4.16,19,8.64,15.11,4.62
20200714:0410,19.85,55,17.7,15.29,4.48
20200714:0510,50.92,118,27.15,15.71,5.1
20200714:0610,114.91,243,36.66,16.35,5.31
20200714:0710,144.69,302,45.77,17.21,5.72
20200714:0810,214.13,441,53.77,18.35,5.93
20200714:0910,233.45,481,59.45,18.88,6.14
20200714:1010,264.44,544,61.21,19.06,6.14
20200714:1110,95.12,207,58.36,19.09,5.79
20200714:1210,244.13,503,51.98,19.01,5.38
20200714:1310,27.53,72,43.62,18.81,5.03
20200714:1410,42.15,102,34.36,18.91,4.62
20200714:1510,9.66,33,24.83,19.02,4.14
20200714:1610,13.13,41,15.44,18.99,3.93
20200714:1710,7.59,28,6.53,18.7,3.86
20200714:1810,0,0,0,18.21,3.86
20200714:1910,0,0,0,17.7,3.38
20200714:2010,0,0,0,17.08,3.45
20200714:2110,0,0,0,16.75,3.66
20200714:2210,0,0,0,16.51,3.72
20200714:2310,0,0,0,16.06,3.72
20200715:0010,0,0,0,15.46,3.59
20200715:0110,0,0,0,15.12,3.59
20200715:0210,0,0,0,14.68,3.52
20200715:0310,0.82,9,8.51,14.6,3.52
20200715:0410,9.43,32,17.56,15.14,3.17
20200715:0510,148.94,312,27.02,16.22,3.93
20200715:0610,194.08,401,36.53,17.81,4.21
20200715:0710,268.08,552,45.64,18.95,4.41
20200715:0810,356.65,736.01,53.62,19.95,5.1
20200715:0910,381.53,791.01,59.29,20.32,5.24
20200715:1010,268.57,558,61.06,20.15,4.97
20200715:1110,39.88,98,58.23,20.42,4.9
20200715:1210,125.86,270,51.86,20.49,4.48
20200715:1310,245.69,511,43.52,20.69,4.28
20200715:1410,40.25,99,34.27,20.84,3.86
20200715:1510,114.11,249,24.73,20.74,3.38
20200715:1610,78.19,189,15.34,20.51,2.55
20200715:1710,18.44,65,6.43,19.72,1.72
20200715:1810,0,0,0,18.82,1.59
20200715:1910,0,0,0,17.8,1.59
20200715:2010,0,0,0,16.53,1.79
20200715:2110,0,0,0,15.81,1.86
20200715:2210,0,0,0,15.13,1.86
20200715:2310,0,0,0,14.37,1.86
20200716:0010,0,0,0,13.9,1.66
20200716:0110,0,0,0,14.03,1.38
20200716:0210,0,0,0,14.63,1.1
20200716:0310,26.08,76,8.37,14.55,0.97
20200716:0410,105.35,243,17.43,15.1,0.55
20200716:0510,190.76,410,26.89,17.99,0.48
20200716:0610,265.66,566,36.4,19.97,0.76
20200716:0710,312.77,665,45.5,20.71,1.52
20200716:0810,320.63,690,53.47,21.84,1.45
20200716:0910,324.12,702,59.13,22.61,1.52
20200716:1010,336.2,730,60.9,23.03,1.66
20200716:1110,287.41,620,58.09,23.12,1.72
20200716:1210,304.91,656,51.74,23.11,1.79
20200716:1310,256.82,550,43.41,23.06,1.66
20200716:1410,178.49,385,34.17,23.19,1.45
20200716:1510,106.59,238,24.63,23.14,1.17
20200716:1610,72.65,178,15.24,22.81,0.9
20200716:1710,15.07,52,6.32,21.54,0.69
20200716:1810,0,0,0,20.68,0.83
20200716:1910,0,0,0,19.32,1.38
20200716:2010,0,0,0,18.1,1.59
20200716:2110,0,0,0,16.94,1.72
20200716:2210,0,0,0,16.18,1.72
20200716:2310,0,0,0,16.02,1.66
20200717:0010,0,0,0,15.74,1.52
20200717:0110,0,0,0,16.12,1.24
20200717:0210,0,0,0,16.44,1.03
20200717:0310,29.02,90,8.23,15.99,1.03
20200717:0410,104.67,244,17.29,16.66,0.55
20200717:0510,184.73,400,26.76,19.84,0.69
20200717:0610,254.42,545,36.26,21.99,1.03
20200717:0710,316.22,688,45.35,22.79,0.69
20200717:0810,287.91,629,53.32,24.01,0.9
20200717:0910,341.97,758.01,58.97,24.75,0.9
20200717:1010,346.3,770.01,60.74,25.01,0.9
20200717:1110,277.24,609,57.94,25.04,0.97
20200717:1210,209.74,458,51.61,25.2,1.1
20200717:1310,256.23,556,43.3,25.21,1.38
20200717:1410,218.21,473,34.06,25.23,1.59
20200717:1510,123.74,276,24.53,24.86,1.86
20200717:1610,3.58,18,15.13,24.39,1.66
20200717:1710,13.8,48,6.2,23.12,1.86
20200717:1810,0,0,0,21.66,2.14
20200717:1910,0,0,0,20.53,2.07
20200717:2010,0,0,0,19.48,1.86
20200717:2110,0,0,0,18.52,1.72
20200717:2210,0,0,0,17.53,1.72
20200717:2310,0,0,0,17.14,1.86
20200718:0010,0,0,0,16.6,2
20200718:0110,0,0,0,16.12,2.07
20200718:0210,0,0,0,15.56,2
20200718:0310,17.52,52,8.08,15.43,1.72
20200718:0410,91.79,213,17.15,17.68,1.38
20200718:0510,177.19,381,26.62,19.73,1.52
20200718:0610,254.47,540,36.12,21.56,1.72
20200718:0710,320.2,686,45.21,23.09,1.86
20200718:0810,364.36,787.01,53.16,24.41,2.41
20200718:0910,344.86,748.01,58.8,25.16,2.55
20200718:1010,367.33,800.01,60.57,25.51,2.62
20200718:1110,369.57,803.01,57.79,25.98,2.9
20200718:1210,347.68,750.01,51.48,26.12,3.1
20200718:1310,291.12,624,43.18,26.14,3.17
20200718:1410,239.23,513,33.95,25.79,3.31
20200718:1510,154.55,342,24.42,25.25,3.52
20200718:1610,50.58,125,15.01,24.49,3.24
20200718:1710,15.16,55,6.08,23.13,3.31
20200718:1810,0,0,0,21.76,3.24
20200718:1910,0,0,0,21.12,2.62
20200718:2010,0,0,0,20.06,2.28
20200718:2110,0,0,0,18.98,2.07
20200718:2210,0,0,0,18.03,1.93
20200718:2310,0,0,0,17.01,2
20200719:0010,0,0,0,16.26,2
20200719:0110,0,0,0,15.64,2
20200719:0210,0,0,0,15.1,1.86
20200719:0310,23.21,69,7.93,14.96,1.66
20200719:0410,99.35,232,17.01,17.18,1.45
20200719:0510,186.05,399,26.47,19.31,1.72
20200719:0610,262.41,554,35.98,21.2,2.14
20200719:0710,307.64,650,45.06,22.53,2.9
20200719:0810,373.8,799.01,53,23.53,3.03
20200719:0910,404.31,874.01,58.62,24.4,3.03
20200719:1010,376.73,816.01,60.39,24.88,2.9
20200719:1110,328.93,712,57.62,25.36,2.69
20200719:1210,304.01,657,51.34,25.59,2.48
20200719:1310,258.2,557,43.05,25.77,2.28
20200719:1410,222.33,481,33.83,25.83,2.21
20200719:1510,155.69,347,24.3,25.51,2.34
20200719:1610,78.47,198,14.89,24.8,2.14
20200719:1710,14.83,55,5.95,23.67,2.07
20200719:1810,0,0,0,22.55,2.14
20200719:1910,0,0,0,21.02,2.07
20200719:2010,0,0,0,19.74,2
20200719:2110,0,0,0,18.47,2
20200719:2210,0,0,0,17.5,1.93
20200719:2310,0,0,0,16.79,1.72
20200720:0010,0,0,0,16.64,1.52
20200720:0110,0,0,0,17.06,1.24
20200720:0210,0,0,0,16.74,1.24
20200720:0310,21.94,66,7.78,16.17,1.24
20200720:0410,51.54,122,16.86,17.25,0.76
20200720:0510,179.12,389,26.33,20.45,0.9
20200720:0610,255.86,549,35.83,22.37,1.1
20200720:0710,319.99,694,44.9,23.59,1.17
20200720:0810,363.32,797.01,52.83,24.67,1.45
20200720:0910,370.13,817.01,58.44,25.43,1.59
20200720:1010,340.11,749.01,60.21,25.99,1.72
20200720:1110,314.72,691,57.46,26.39,1.79
20200720:1210,334.84,735.01,51.19,26.71,1.79
20200720:1310,108.5,244,42.92,26.72,1.66
20200720:1410,142.02,314,33.7,26.8,1.66
20200720:1510,101.75,231,24.17,26.39,1.72
20200720:1610,69.56,175,14.76,25.79,1.31
20200720:1710,15.11,59,5.81,24.64,0.97
20200720:1810,0,0,0,23.18,1.79
20200720:1910,0,0,0,21.07,1.66
20200720:2010,0,0,0,21.51,0.97
20200720:2110,0,0,0,21.58,0.48
20200720:2210,0,0,0,19.24,1.31
20200720:2310,0,0,0,17.56,1.79
20200721:0010,0,0,0,17.05,2
20200721:0110,0,0,0,16.84,2.07
20200721:0210,0,0,0,16.4,2.07
20200721:0310,17.48,53,7.62,16.34,2.07
20200721:0410,89.63,210,16.71,18.27,1.79
20200721:0510,173.62,375,26.18,20.83,2
20200721:0610,249.61,531,35.68,22.92,2.21
20200721:0710,305.84,654,44.75,24.18,2.41
20200721:0810,355.22,764.01,52.66,25.5,3.17
20200721:0910,333.68,719,58.26,25.75,3.38
20200721:1010,43.56,108,60.02,25.73,3.66
20200721:1110,98.45,221,57.29,26.04,3.93
20200721:1210,259.48,548,51.04,23.57,4.28
20200721:1310,221.96,469,42.78,22.56,3.31
20200721:1410,228.84,484,33.57,22.67,3.24
20200721:1510,155.32,341,24.05,23.13,3.66
20200721:1610,74.38,186,14.63,23.28,3.86
20200721:1710,10.87,41.4,5.67,22.61,3.52
20200721:1810,0,0,0,21.75,3.1
20200721:1910,0,0,0,21.42,3.24
20200721:2010,0,0,0,20.6,3.31
20200721:2110,0,0,0,19.87,3.31
20200721:2210,0,0,0,19.25,3.17
20200721:2310,0,0,0,18.6,3.03
20200722:0010,0,0,0,18.13,3.1
20200722:0110,0,0,0,17.64,3.31
20200722:0210,0,0,0,17.22,3.45
20200722:0310,4.12,19,7.46,16.97,3.52
20200722:0410,54.05,127,16.56,17.4,3.1
20200722:0510,185.24,392,26.03,18.25,3.66
