time,P,G(i),H_sun,T2m,WS10m
20200106:1910,0,0,0,-1.46,1.24
20200106:2010,0,0,0,-1.82,1.17
20200106:2110,0,0,0,-2.26,1.03
20200106:2210,0,0,0,-2.71,1.1
20200106:2310,0,0,0,-2.95,1.17
20200107:0010,0,0,0,-3.55,1.31
20200107:0110,0,0,0,-3.63,1.38
20200107:0210,0,0,0,-3.64,1.31
20200107:0310,0,0,0,-3.55,1.24
20200107:0410,0,0,0,-3.54,1.1
20200107:0510,0,0,0,-3.51,1.03
20200107:0610,0,0,0,-3.74,1.1
20200107:0710,35.48,110.01,7.77,-2.41,1.38
20200107:0810,83.73,197.01,13,-1.36,1.45
20200107:0910,91.45,193,16.23,-0.82,1.45
20200107:1010,85.16,178,17.15,-0.44,1.45
20200107:1110,79.23,169,15.68,-0.1,1.31
20200107:1210,56.78,131,11.96,0.05,1.17
20200107:1310,20.18,62,6.31,0.01,0.9
20200107:1410,0,0,0,-0.36,0.83
20200107:1510,0,0,0,-0.83,0.83
20200107:1610,0,0,0,-1.26,0.83
20200107:1710,0,0,0,-1.27,0.9
20200107:1810,0,0,0,-1.45,0.97
20200107:1910,0,0,0,-2.6,1.17
20200107:2010,0,0,0,-2.89,1.17
20200107:2110,0,0,0,-3.09,1.31
20200107:2210,0,0,0,-3.36,1.31
20200107:2310,0,0,0,-3.39,1.24
20200108:0010,0,0,0,-3.59,1.17
20200108:0110,0,0,0,-3.67,1.1
20200108:0210,0,0,0,-3.87,1.17
20200108:0310,0,0,0,-4,1.17
20200108:0410,0,0,0,-3.52,1.1
20200108:0510,0,0,0,-3.5,1.24
20200108:0610,0,0,0,-3.58,1.45
20200108:0710,23.89,63,7.84,-1.87,1.31
20200108:0810,86.63,205.01,13.1,-1.16,1.52
20200108:0910,117.38,254.01,16.34,-0.42,1.93
20200108:1010,133.63,287.01,17.29,0.27,1.93
20200108:1110,117.11,260.01,15.83,0.94,2
20200108:1210,75.31,187.01,12.11,1.38,2
20200108:1310,23.6,83.01,6.47,1.08,1.93
20200108:1410,0,0,0,-0.41,2.28
20200108:1510,0,0,0,-1.45,2.41
20200108:1610,0,0,0,-1.9,2.55
20200108:1710,0,0,0,-1.87,2.48
20200108:1810,0,0,0,-1.53,2.41
20200108:1910,0,0,0,-1.72,2.55
20200108:2010,0,0,0,-1.25,2.69
20200108:2110,0,0,0,-0.96,2.62
20200108:2210,0,0,0,-0.96,2.62
20200108:2310,0,0,0,-0.91,2.76
20200109:0010,0,0,0,-0.69,2.76
20200109:0110,0,0,0,-0.53,2.76
20200109:0210,0,0,0,-0.34,2.83
20200109:0310,0,0,0,-0.36,2.97
20200109:0410,0,0,0,-0.23,2.97
20200109:0510,0,0,0,-0.21,2.9
20200109:0610,0,0,0,-0.39,2.9
20200109:0710,21.5,57,7.93,-0.41,2.83
20200109:0810,21.43,55,13.2,-0.05,2.97
20200109:0910,71.64,152,16.47,0.36,2.62
20200109:1010,36.9,85,17.43,0.68,2.83
20200109:1110,17.33,47,15.98,0.94,2.55
20200109:1210,27.3,67,12.27,1.07,2.48
20200109:1310,10.87,34,6.64,1.2,2.34
20200109:1410,0,0,0,1.14,2.21
20200109:1510,0,0,0,1.07,2.28
20200109:1610,0,0,0,1.12,2.34
20200109:1710,0,0,0,1.2,2.34
20200109:1810,0,0,0,1.28,2.14
20200109:1910,0,0,0,1.09,1.72
20200109:2010,0,0,0,1.01,1.45
20200109:2110,0,0,0,0.79,1.38
20200109:2210,0,0,0,0.64,1.38
20200109:2310,0,0,0,0.34,1.52
20200110:0010,0,0,0,0.18,1.59
20200110:0110,0,0,0,0.04,1.59
20200110:0210,0,0,0,-0.03,1.52
20200110:0310,0,0,0,-0.05,1.66
20200110:0410,0,0,0,0.01,1.86
20200110:0510,0,0,0,0.07,2.07
20200110:0610,0,0,0,0.35,2.28
20200110:0710,5.36,21,8.01,0.41,2.34
20200110:0810,33.52,79,13.31,0.73,2.62
20200110:0910,42.07,95,16.6,1.07,2.76
20200110:1010,46.29,103,17.57,1.4,2.9
20200110:1110,29.41,71,16.14,1.71,2.97
20200110:1210,17.74,48,12.44,1.88,2.9
20200110:1310,17.96,52,6.81,2.01,2.9
20200110:1410,0,0,0,2.08,2.83
20200110:1510,0,0,0,2.1,2.69
20200110:1610,0,0,0,2.09,2.48
20200110:1710,0,0,0,2.07,2.28
20200110:1810,0,0,0,2.06,2.28
20200110:1910,0,0,0,1.87,2.21
20200110:2010,0,0,0,1.92,2.21
20200110:2110,0,0,0,1.99,2.34
20200110:2210,0,0,0,2.1,2.55
20200110:2310,0,0,0,2.25,2.69
20200111:0010,0,0,0,2.41,2.83
20200111:0110,0,0,0,2.63,3.03
20200111:0210,0,0,0,2.85,3.31
20200111:0310,0,0,0,3.1,3.59
20200111:0410,0,0,0,3.34,3.86
20200111:0510,0,0,0,3.64,4.07
20200111:0610,0,0,0,3.95,4.34
20200111:0710,29.75,81,8.11,4.53,4.69
20200111:0810,40.42,94,13.42,5.02,5.03
20200111:0910,63.43,138,16.73,5.29,5.1
20200111:1010,90.97,193,17.73,5.6,4.9
20200111:1110,33.48,80,16.31,5.76,4.76
20200111:1210,33.16,80,12.62,5.7,4.55
20200111:1310,12.02,37,6.99,5.57,4.48
20200111:1410,0,0,0,5.25,4.55
20200111:1510,0,0,0,4.96,4.41
20200111:1610,0,0,0,4.78,4.34
20200111:1710,0,0,0,4.63,4.28
20200111:1810,0,0,0,3.96,4.9
20200111:1910,0,0,0,2.15,5.17
20200111:2010,0,0,0,1.26,4.21
20200111:2110,0,0,0,0.9,3.93
20200111:2210,0,0,0,0.64,4
20200111:2310,0,0,0,0.15,3.38
20200112:0010,0,0,0,-0.42,2.48
20200112:0110,0,0,0,-1.07,2.69
20200112:0210,0,0,0,-1.62,3.03
20200112:0310,0,0,0,-1.94,2.9
20200112:0410,0,0,0,-2.27,2.69
20200112:0510,0,0,0,-2.49,2.55
20200112:0610,0,0,0,-2.64,2.34
20200112:0710,26.75,69,8.21,-2.09,2.41
20200112:0810,64.27,141,13.55,-0.81,3.31
20200112:0910,85.14,178,16.88,-0.14,2.9
20200112:1010,101.06,209,17.89,0.33,2.83
20200112:1110,123.8,269.01,16.48,0.52,3.1
20200112:1210,79.59,188.01,12.8,0.59,3.38
20200112:1310,27.81,84.01,7.17,0.53,3.72
20200112:1410,0,0,0,0.38,3.66
20200112:1510,0,0,0,0.34,3.24
20200112:1610,0,0,0,0.4,3.31
20200112:1710,0,0,0,0.63,3.31
20200112:1810,0,0,0,0.62,3.24
20200112:1910,0,0,0,0.77,3.31
20200112:2010,0,0,0,0.63,3.31
20200112:2110,0,0,0,0.29,3.45
20200112:2210,0,0,0,0.34,3.59
20200112:2310,0,0,0,0.55,3.79
20200113:0010,0,0,0,0.7,3.86
20200113:0110,0,0,0,0.74,3.86
20200113:0210,0,0,0,0.71,3.86
20200113:0310,0,0,0,0.73,3.86
20200113:0410,0,0,0,0.92,3.86
20200113:0510,0,0,0,0.77,3.86
20200113:0610,0,0,0,0.75,3.93
20200113:0710,33.88,91,8.32,1.12,4.21
20200113:0810,74.27,166.01,13.68,1.89,4.34
20200113:0910,98.43,208.01,17.03,2.69,3.52
20200113:1010,77.15,163,18.05,3.5,4
20200113:1110,49.48,110,16.66,3.66,4.62
20200113:1210,6.08,23,12.98,3.97,4.07
20200113:1310,21.16,59,7.36,3.91,3.59
20200113:1410,0,0,0,3.52,3.17
20200113:1510,0,0,0,3.04,2.97
20200113:1610,0,0,0,2.53,2.83
20200113:1710,0,0,0,2.52,2.83
20200113:1810,0,0,0,2.59,2.83
20200113:1910,0,0,0,2.35,2.34
20200113:2010,0,0,0,2.42,2.41
20200113:2110,0,0,0,2.49,2.34
20200113:2210,0,0,0,2.54,2.21
20200113:2310,0,0,0,2.58,2.21
20200114:0010,0,0,0,2.62,2.21
20200114:0110,0,0,0,2.65,2.21
